,,data,Edward_II_Marlowe.tok,Hamlet_Shakespeare.tok,Henry_VI_Part1_Shakespeare.tok,Henry_VI_Part2_Shakespeare.tok,Jew_of_Malta_Marlowe.tok,Richard_II_Shakespeare.tok
c,23,j,0.0009156370459966314,0.0008601276116602027,0.001034226430949226,0.00137936176558306,0.0015664118458222323,0.0013072168829674868
c,24,k,0.009540711936063664,0.008695108219692231,0.007832110576042576,0.010811213838353713,0.007564296520423601,0.009819813224851762
c,25,l,0.04583837310514,0.04142687351432504,0.04270493304461179,0.044456456904264835,0.04296252660891917,0.041538123673174866
c,26,m,0.03134643862405752,0.029299074189916178,0.025112310526485892,0.028649716671637338,0.030163469133653757,0.02788032167993056
c,27,n,0.060228570136667305,0.05867634179907419,0.06036219471467201,0.059498956158663886,0.058653421338010256,0.06169017914100164
c,28,o,0.07468659213456473,0.08125078193419241,0.07536925115542484,0.0744016552341187,0.0727243516795416,0.0788513223805988
c,29,p,0.01281891864395284,0.0135431002126861,0.014942417288818503,0.013597897405308678,0.011728006640515175,0.013877414429582841
c,30,q,0.0009495495291816918,0.0009774177405229576,0.0008834017431024638,0.0007922010140172979,0.0005890779591126344,0.0004705980778682953
c,31,r,0.06179984852424177,0.05467283873389216,0.06364801827133361,0.05829667461974351,0.055038624770728184,0.05980778682952846
c,32,s,0.061053773894170445,0.06117853121481296,0.061030132617993386,0.06038435729197733,0.06305811789592064,0.062139861748742455
c,33,t,0.0815595220600703,0.08756881020893281,0.08416017581849326,0.0818483447658813,0.08679528202107292,0.08441483743450844
c,34,u,0.02902908560641172,0.03149630927061178,0.031630091679863824,0.03064419922457501,0.028583669152397146,0.029292115913535446
c,35,v,0.0101963532776415,0.009297197547854373,0.009211079150641543,0.00861169102296451,0.01053646258685553,0.008847243863923951
c,36,w,0.02477872104721748,0.02359877392718629,0.022343600185298903,0.022694229048613183,0.025009036991418206,0.023362580132394926
c,37,x,0.0004973830867142195,0.000781934192418366,0.0009695872790148993,0.000726960930509991,0.0005756898236782563,0.0006902105142068331
c,38,y,0.02386308400122085,0.02452145627423996,0.023507104920116782,0.02401767074261855,0.023429237010161596,0.0240632483816655
c,39,z,0.00027129986548048336,0.0003987864381333667,0.00026932979972636094,0.0002516403220996123,0.0005355254173751221,0.00032418978697593674
c,40,&,,7.819341924183661e-06,,,,
c,41,[,,0.0002971349931189791,0.00010773191989054437,0.00031688040560691916,2.6776270868756108e-05,3.137320519121969e-05
c,42,],,0.0002971349931189791,0.00010773191989054437,0.00031688040560691916,4.016440630313416e-05,3.137320519121969e-05
c,43,+,,,,,1.3388135434378054e-05,
c,44,2,,,,,2.6776270868756108e-05,
c,45,3,,,,,1.3388135434378054e-05,
p,0,!,0.002068661474288686,0.002353621919179282,0.0022946898936685952,0.0024045630778407397,0.0013655898143065616,0.0014745406439873252
p,1,"""",0.00013564993274024168,,,,2.6776270868756108e-05,
p,2,',0.004804268451216893,0.0074596521956712125,0.006140719433761029,0.006645168505815688,0.005609628747004405,0.006515168944709954
p,3,(,1.1304161061686807e-05,,,,4.016440630313416e-05,
p,4,),1.1304161061686807e-05,,,,4.016440630313416e-05,
p,5,",",0.02658738681708737,0.024849868635055675,0.021470971634185494,0.023616910229645093,0.026856599681362378,0.022044905514363698
p,6,-,0.0001808665769869889,0.0032215688727636684,0.0012604634627193692,0.001593722039964211,0.0008434525323658174,0.001505913849178545
p,7,.,0.012728485355459345,0.009742900037532842,0.008564687631298277,0.008798091261556815,0.016159479469294313,0.007487738305637765
p,8,:,0.001051286978736873,0.00414425121981734,0.00305958652489146,0.0028798836862511186,0.0005221372819407441,0.0035242567164803446
p,9,;,0.0036512440229248388,0.004496121606405605,0.0035120605884317465,0.0037932448553534147,0.002262594888409891,0.0041517208203047384
p,10,?,0.0034251608016911024,0.003346678343550607,0.0024131950055481938,0.0027121234715180437,0.004431472828779136,0.002405279064660176
p,11,&,,7.819341924183661e-06,,,,
p,12,[,,0.0002971349931189791,0.00010773191989054437,0.00031688040560691916,2.6776270868756108e-05,3.137320519121969e-05
p,13,],,0.0002971349931189791,0.00010773191989054437,0.00031688040560691916,4.016440630313416e-05,3.137320519121969e-05
p,14,+,,,,,1.3388135434378054e-05,
l,0,1,0.03664743807261622,0.04183002192836733,0.03878063812639264,0.039276857851371895,0.04354226827472964,0.03642398959314583
l,1,10,0.008192350574434041,0.011097082862648718,0.011615227800692154,0.010719142468602517,0.0077572051412717205,0.010182568519266154
l,2,11,0.0029085268311600165,0.005216293441424691,0.00625800028445455,0.0037996960243180575,0.003340694184927239,0.006055712555510691
l,3,12,0.0013573125212080082,0.0025915343212173595,0.002180818280946286,0.0017598592112630991,0.0014155483834437466,0.00174942807159198
l,4,13,0.0005332299190460031,0.0011296431656588474,0.0010430000474090935,0.0008399328053755698,0.0006228412887152482,0.0006279998205714798
l,5,2,0.1868728489020311,0.1983188251711077,0.18645996302090742,0.18754499640028802,0.18583319177849497,0.19073251693356663
l,6,3,0.21474623103398147,0.22051299089640483,0.19883373631062456,0.2123430125589952,0.2365098239057811,0.2070156551383844
